window_h,lead_h,grade,threshold_mm,AROC,BS,BS_ref,BSS,base_rate,n_points,n_used
6,150,≥0.1,0.1,0.813641,0.208733,0.121106,-0.723562,0.154682,3.61927e+06,
6,150,≥4,4,0.865476,0.0356705,0.0359074,0.00659763,0.0390902,3.61927e+06,
6,150,≥13,13,0.776478,0.0114213,0.011834,0.0348746,0.0123119,3.61927e+06,
6,150,≥25,25,0.649205,0.00417284,0.00418179,0.00214024,0.00426661,3.61927e+06,
6,150,AVG,,0.7762,0.0649995,,-0.169987,,,4
6,156,≥0.1,0.1,0.824859,0.191679,0.122052,-0.570475,0.158995,3.62334e+06,
6,156,≥4,4,0.854452,0.0429439,0.0407126,-0.0548063,0.0451494,3.62334e+06,
6,156,≥13,13,0.722387,0.0139586,0.0138486,-0.00794685,0.0145283,3.62334e+06,
6,156,≥25,25,0.587644,0.00506037,0.00499362,-0.0133664,0.00511654,3.62334e+06,
6,156,AVG,,0.747335,0.0634105,,-0.161649,,,4
6,162,≥0.1,0.1,0.835314,0.13728,0.12001,-0.143909,0.152872,3.61356e+06,
6,162,≥4,4,0.822848,0.0353493,0.0351303,-0.00623467,0.0377782,3.61356e+06,
6,162,≥13,13,0.700953,0.0112426,0.0110735,-0.01527,0.0114317,3.61356e+06,
6,162,≥25,25,0.608747,0.00407248,0.00403357,-0.0096464,0.00410592,3.61356e+06,
6,162,AVG,,0.741965,0.0469861,,-0.0437651,,,4
6,168,≥0.1,0.1,0.838658,0.137904,0.12704,-0.0855156,0.167102,3.61038e+06,
6,168,≥4,4,0.852714,0.0380312,0.0392811,0.0318205,0.0429614,3.61038e+06,
6,168,≥13,13,0.772378,0.0135913,0.0137777,0.0135275,0.0143683,3.61038e+06,
6,168,≥25,25,0.66667,0.00536962,0.00535341,-0.00302831,0.00547782,3.61038e+06,
6,168,AVG,,0.782605,0.0487239,,-0.010799,,,4
6,174,≥0.1,0.1,0.796179,0.208983,0.1212,-0.724284,0.154829,3.6093e+06,
6,174,≥4,4,0.850049,0.0367249,0.0359944,-0.0202943,0.0391863,3.6093e+06,
6,174,≥13,13,0.757895,0.0117224,0.0118651,0.0120202,0.0123442,3.6093e+06,
6,174,≥25,25,0.636154,0.00421417,0.00419308,-0.0050305,0.00427812,3.6093e+06,
6,174,AVG,,0.760069,0.0654111,,-0.184397,,,4
6,180,≥0.1,0.1,0.807336,0.191137,0.12214,-0.564895,0.159165,3.61336e+06,
6,180,≥4,4,0.841863,0.0432668,0.0408055,-0.0603163,0.0452546,3.61336e+06,
6,180,≥13,13,0.723271,0.0140387,0.0138855,-0.011032,0.0145671,3.61336e+06,
6,180,≥25,25,0.592432,0.00507739,0.00500742,-0.0139746,0.00513068,3.61336e+06,
6,180,AVG,,0.741226,0.06338,,-0.162555,,,4
6,186,≥0.1,0.1,0.812838,0.140337,0.120096,-0.168535,0.153009,3.60358e+06,
6,186,≥4,4,0.808048,0.0355986,0.0352124,-0.0109673,0.0378681,3.60358e+06,
