window_h,lead_h,grade,threshold_mm,AROC,BS,BS_ref,BSS,base_rate,n_points,n_used
6,198,≥0.1,0.1,0.775567,0.210951,,-0.61118,0.154934,3.59931e+06,
6,198,≥4,4,0.83112,0.0373428,,0.0101052,0.0392658,3.59931e+06,
6,198,≥13,13,0.750603,0.0119144,,0.0254064,0.0123782,3.59931e+06,
6,198,≥25,25,0.621687,0.00424098,,0.00716427,0.00428999,3.59931e+06,
6,198,AVG,,0.744744,0.0661123,,-0.142126,,,4
6,204,≥0.1,0.1,0.786132,0.19454,,-0.451506,0.15945,3.60336e+06,
6,204,≥4,4,0.830238,0.0434426,,-0.00298921,0.0453718,3.60336e+06,
6,204,≥13,13,0.718183,0.0141236,,0.0187517,0.0146069,3.60336e+06,
6,204,≥25,25,0.585318,0.00510565,,0.00239277,0.00514436,3.60336e+06,
6,204,AVG,,0.729968,0.0643029,,-0.108338,,,4
6,210,≥0.1,0.1,0.792177,0.143487,,-0.105221,0.15334,3.5936e+06,
6,210,≥4,4,0.793086,0.0358621,,0.0182929,0.0379722,3.5936e+06,
6,210,≥13,13,0.684806,0.0113179,,0.00389723,0.0114943,3.5936e+06,
6,210,≥25,25,0.590225,0.00410408,,0.00171561,0.00412817,3.5936e+06,
6,210,AVG,,0.715073,0.0486928,,-0.0203287,,,4
6,216,≥0.1,0.1,0.795438,0.145042,,-0.0398495,0.16756,3.59048e+06,
6,216,≥4,4,0.814438,0.0396889,,0.0388083,0.0431536,3.59048e+06,
6,216,≥13,13,0.741631,0.0139772,,0.0183784,0.0144477,3.59048e+06,
6,216,≥25,25,0.637623,0.0054422,,0.00645733,0.0055079,3.59048e+06,
6,216,AVG,,0.747282,0.0510376,,0.00594863,,,4
6,222,≥0.1,0.1,0.757115,0.209076,,-0.594982,0.155158,3.58934e+06,
6,222,≥4,4,0.815295,0.0377979,,0.000615108,0.0393713,3.58934e+06,
6,222,≥13,13,0.739351,0.0120277,,0.0188313,0.0124126,3.58934e+06,
6,222,≥25,25,0.613688,0.00427622,,0.00167644,0.00430191,3.58934e+06,
6,222,AVG,,0.731362,0.0657945,,-0.143465,,,4
6,228,≥0.1,0.1,0.768818,0.192096,,-0.431026,0.15976,3.59335e+06,
6,228,≥4,4,0.818189,0.0435419,,-0.00267775,0.0454954,3.59335e+06,
6,228,≥13,13,0.715674,0.0142143,,0.0150844,0.0146465,3.59335e+06,
6,228,≥25,25,0.580358,0.00513092,,0.00017269,0.00515841,3.59335e+06,
6,228,AVG,,0.72076,0.0637458,,-0.104612,,,4
6,234,≥0.1,0.1,0.77548,0.141882,,-0.0910509,0.153651,3.5836e+06,
6,234,≥4,4,0.785139,0.035845,,0.0212263,0.0380718,3.5836e+06,
6,234,≥13,13,0.680873,0.0113578,,0.00313515,0.0115264,3.5836e+06,
6,234,≥25,25,0.592074,0.00412116,,0.000337597,0.00413969,3.5836e+06,
6,234,AVG,,0.708392,0.0483016,,-0.0165879,,,4
6,240,≥0.1,0.1,0.779978,0.144285,,-0.0326742,0.167915,3.58051e+06,
6,240,≥4,4,0.798842,0.0398828,,0.0366446,0.0432723,3.58051e+06,
6,240,≥13,13,0.730403,0.0140201,,0.0180255,0.0144873,3.58051e+06,
6,240,≥25,25,0.630849,0.00546701,,0.00468332,0.00552324,3.58051e+06,
6,240,AVG,,0.735018,0.0509137,,0.0066698,,,4
6,246,≥0.1,0.1,0.741387,0.206833,,-0.57547,0.155447,3.57936e+06,
6,246,≥4,4,0.792074,0.0379517,,-0.000843934,0.0394783,3.57936e+06,
6,246,≥13,13,0.727921,0.0120658,,0.0184186,0.0124472,3.57936e+06,
6,246,≥25,25,0.625289,0.00427544,,0.00461982,0.0043139,3.57936e+06,
6,246,AVG,,0.721668,0.0652815,,-0.138319,,,4
6,252,≥0.1,0.1,0.752695,0.190622,,-0.417532,0.160109,3.58335e+06,
6,252,≥4,4,0.799324,0.0436565,,-0.00268217,0.045621,3.58335e+06,
6,252,≥13,13,0.70792,0.0142493,,0.0153477,0.0146871,3.58335e+06,
6,252,≥25,25,0.588683,0.00513767,,0.00157597,0.00517253,3.58335e+06,
6,252,AVG,,0.712156,0.0634163,,-0.100823,,,4
6,258,≥0.1,0.1,0.757237,0.142561,,-0.0938969,0.154058,3.57361e+06,
6,258,≥4,4,0.76395,0.0361923,,0.0143665,0.0381773,3.57361e+06,
6,258,≥13,13,0.662482,0.0113806,,0.00383903,0.011558,3.57361e+06,
6,258,≥25,25,0.583397,0.00413172,,0.000558251,0.00415126,3.57361e+06,
6,258,AVG,,0.691767,0.0485664,,-0.0187833,,,4
6,264,≥0.1,0.1,0.763041,0.145373,,-0.0382105,0.168372,3.57054e+06,
6,264,≥4,4,0.781887,0.0402554,,0.0302105,0.0433923,3.57054e+06,
6,264,≥13,13,0.720636,0.0140907,,0.0157701,0.0145275,3.57054e+06,
6,264,≥25,25,0.623366,0.00548712,,0.00373606,0.00553837,3.57054e+06,
6,264,AVG,,0.722232,0.0513016,,0.00287653,,,4
6,270,≥0.1,0.1,0.729618,0.204933,,-0.557933,0.155822,3.56939e+06,
6,270,≥4,4,0.778749,0.0379541,,0.00167437,0.0395847,3.56939e+06,
6,270,≥13,13,0.718712,0.012126,,0.0162388,0.012482,3.56939e+06,
6,270,≥25,25,0.614529,0.00429125,,0.00371281,0.00432595,3.56939e+06,
6,270,AVG,,0.710402,0.0648261,,-0.134077,,,4
6,276,≥0.1,0.1,0.737048,0.191286,,-0.419614,0.160508,3.57334e+06,
6,276,≥4,4,0.786481,0.0439067,,-0.00580671,0.0457459,3.57334e+06,
6,276,≥13,13,0.686215,0.0143764,,0.00929519,0.0147282,3.57334e+06,
6,276,≥25,25,0.569011,0.00516651,,-0.00123987,0.00518702,3.57334e+06,
6,276,AVG,,0.694689,0.063684,,-0.104341,,,4
6,282,≥0.1,0.1,0.738333,0.143768,,-0.100898,0.154445,3.56362e+06,
6,282,≥4,4,0.745597,0.0364754,,0.0092961,0.0382833,3.56362e+06,
6,282,≥13,13,0.654496,0.0114223,,0.00287818,0.0115896,3.56362e+06,
6,282,≥25,25,0.571524,0.00414961,,-0.00104135,0.00416262,3.56362e+06,
6,282,AVG,,0.677487,0.0489538,,-0.0224411,,,4
6,288,≥0.1,0.1,0.747366,0.146846,,-0.0465962,0.168802,3.56058e+06,
6,288,≥4,4,0.769019,0.040554,,0.0255889,0.0435124,3.56058e+06,
