window_h,lead_h,grade,threshold_mm,hits,misses,false_alarms,n_pairs,TS,POD,FAR,漏报率,BIAS
24,336,≥10,10,54678,218259,236225,3520176,0.107388,0.200332,0.81204,0.799668,1.06582
24,336,≥25,25,7697,92963,61235,3520176,0.0475432,0.0764653,0.888339,0.923535,0.6848
24,336,≥50,50,906,27451,11317,3520176,0.0228361,0.0319498,0.925877,0.96805,0.43104
24,336,≥100,100,32,4216,1151,3520176,0.00592702,0.00753296,0.97295,0.992467,0.278484
24,336,≥250,250,0,126,6,3520176,0,0,1,1,0.047619
24,360,≥0.1,0.1,794288,310827,1175193,3510270,0.348325,0.718738,0.596702,0.281262,1.78215
24,360,≥10,10,54728,218209,240079,3510270,0.106679,0.200515,0.81436,0.799485,1.08013
24,360,≥25,25,7075,93585,59491,3510270,0.0441771,0.0702861,0.893715,0.929714,0.661295
24,360,≥50,50,752,27605,10680,3510270,0.0192638,0.026519,0.93422,0.973481,0.403146
24,360,≥100,100,10,4238,1220,3510270,0.00182882,0.00235405,0.99187,0.997646,0.289548
24,360,≥250,250,0,126,26,3510270,0,0,1,1,0.206349
